Picturesource,Painting,Year,Portrait,RMS_contrast,AVG_entropy,RMS_contrast_log,AVG_entropy_log,erotic_charge
images-works-3437_s.jpg,"('maternity', 1905)",1905,0.0,0.2713408089519796,3.756511998959152,-1.8818220533674395,1.9093937104940288,0.013785828563294689
images-works-56_s.jpg,"(""les demoiselles d'avignon (the young ladies of avignon)"", 1907)",1907,1.0,0.1972305803792922,5.0417064347168985,-2.342044837587659,2.3339121163106444,-0.004066360638507183
images-works-1513_s.jpg,"('portrait of woman', 1938)",1938,1.0,0.19159485354041866,5.023209407103383,-2.383869285751861,2.3286094192049065,-0.027629933273477292
images-works-3570_s.jpg,"('naked woman', 1902)",1902,1.0,0.14541597246839208,5.223912499503178,-2.7817423515215207,2.385130731955158,-0.19830580978318135
images-works-1459_s.jpg,"('woman with a blue hat', 1939)",1939,1.0,0.26275147917167274,5.015289319335418,-1.9282292089582143,2.3263329286601575,0.19905185985097162
images-works-151_s.jpg,"('woman with a flower', 1932)",1932,1.0,0.2326450705655742,4.424365758147883,-2.1037974762252274,2.1454706567421984,0.0208365902584855
images-works-1885_s.jpg,"('bather', 1928)",1928,1.0,0.13207086519813854,4.4428315105058696,-2.9206158513913163,2.151479429764118,-0.38456821081359904
images-works-3040_s.jpg,"('seated woman', 1909)",1909,1.0,0.12410756938836852,5.0748983527264775,-3.0103369859780216,2.3433789262414515,-0.33347902986828504
images-works-102_s.jpg,"('portrait of olga in the armchair', 1917)",1917,0.0,0.2116093274604997,4.801451345376087,-2.240524873936245,2.2634705583939283,0.011472842228841706
images-works-128_s.jpg,"('the lovers', 1923)",1923,1.0,0.1977649197918244,4.837913788951251,-2.338141556205874,2.2743850608927287,-0.031878247656572656
images-works-1958_s.jpg,"('woman watch', 1936)",1936,1.0,0.2367608149610738,5.205854230636257,-2.0784977670422906,2.3801349153374,0.15081857414755473
images-works-3960_s.jpg,"('head of a woman (fernande)', 1909)",1909,1.0,0.1857840464571032,4.03634991351174,-2.4283014741431486,2.0130512479343574,-0.20762511310439558
images-works-61_s.jpg,"('head of a woman', 1907)",1907,1.0,0.23552670592480746,4.6161466370553965,-2.0860374413301424,2.206689053531163,0.060325806100510304
images-works-3545_s.jpg,"('mother and child hands of study', 1904)",1904,0.0,0.1155502433241934,4.139306947979116,-3.113407797070243,2.0493892347745057,-0.5320092811478687
images-works-158_s.jpg,"('marie-therese walter', 1937)",1937,1.0,0.2499093780337847,4.823695456518056,-2.0005230542511554,2.270138825720497,0.13480788573467084
images-works-1651_s.jpg,"('portrait of dora maar', 1937)",1937,1.0,0.30787284201088144,5.01060000274088,-1.6995934844850449,2.3249833717137167,0.3126949436143359
images-works-2025_s.jpg,"('composition (minotaur and woman) 1', 1936)",1936,1.0,0.18701305514443156,5.010659557789478,-2.418789108546083,2.3250005192135403,-0.046894294666271374
images-works-3941_s.jpg,"('the dream', 1932)",1932,1.0,0.3499313532091037,4.36710629797054,-1.5148561616819152,2.126677647602839,0.30591074296046183
images-works-3461_s.jpg,"('motherhood (la maternitã©)', 1901)",1901,0.0,0.2131239526313848,5.102252050559322,-2.2302353506612618,2.3511341696401407,0.06044940948943944
images-works-3447_s.jpg,"('mother and child', 1901)",1901,0.0,0.1892727142694484,5.248086393292172,-2.4014616491149683,2.3917914696031537,-0.004835089755907296
images-works-174_s.jpg,"('girl with a boat (maya picasso)', 1938)",1938,0.0,0.31327248086138576,4.72888158199512,-1.67451005185742,2.2414990150865974,0.2834944816145887
images-works-1834_s.jpg,"('female acrobat', 1930)",1930,1.0,0.2631626914993805,4.2869382686718,-1.9259731217868867,2.0999476426920256,0.08698726045256944
images-works-137_s.jpg,"('the three graces', 1925)",1925,0.0,0.15893467895833244,4.613834387256166,-2.653494145137964,2.205966219674919,-0.22376396273152266
images-works-3351_s.jpg,"('fernande to black mantilla', 1905)",1905,1.0,0.15539629472953476,4.881406181014644,-2.685975990363456,2.287296803146177,-0.1993395936086395
images-works-173_s.jpg,"('weeping woman', 1937)",1937,1.0,0.2317402226608016,5.341294051990105,-2.1094196234209672,2.41718931049297,0.1538848435360014
images-works-1663_s.jpg,"('portrait of marie-therese', 1938)",1938,1.0,0.24348432158607006,5.0966444545464835,-2.0380992174391106,2.34954771334652,0.15572424795370465
images-works-1482_s.jpg,"('portrait of dora maar', 1936)",1936,1.0,0.20696139940202185,4.529649650139446,-2.2725663807098813,2.179399468030217,-0.046583456339832185
images-works-106_s.jpg,"('the bathers', 1918)",1918,1.0,0.19721316248787185,5.0359189667857445,-2.3421722509693925,2.3322550687684225,-0.004958591100485021
images-works-80_s.jpg,"('woman with a fan', 1909)",1909,1.0,0.11825774393207765,4.555973727605067,-3.0799934354951892,2.187759427651124,-0.4461170039220326
images-works-1906_s.jpg,"('the muse', 1935)",1935,1.0,0.195740799875386,5.032827072823504,-2.352983594707325,2.331369027903167,-0.010807283402079149
images-works-127_s.jpg,"('portrait of paul picasso as a child', 1923)",1923,0.0,0.17887324444657626,4.747323458711095,-2.482990487212273,2.24711435109037,-0.11793806806095142
images-works-1450_s.jpg,"('buste de femme assise (dora)', 1938)",1938,1.0,0.19443787245150526,5.37453922389014,-2.362618841599965,2.426141073231624,0.03176111581582952
images-works-1941_s.jpg,"('woman at the window (marie-therese)', 1936)",1936,1.0,0.2014863873605135,4.922894854180996,-2.3112457228878562,2.299506926050212,-0.005869398418822058
images-works-3475_s.jpg,"('mother and child', 1901)",1901,0.0,0.19807212367623825,4.656089637148106,-2.3359022427465557,2.2191188326929847,-0.05839170502678548
