Picturesource,Painting,Year,Portrait,RMS_contrast,AVG_entropy,RMS_contrast_log,AVG_entropy_log,erotic_charge
paintings-thmbnls150-bb.jpg,"('standing model', 1901)",1901,1.0,0.1618861291847178,4.809606503759797,-2.626948717731801,2.265918865243425,-0.18051492624418808
paintings-thmbnls150-bd.jpg,"('nude with a white wash towel', 1903)",1903,1.0,0.1584004253965375,4.845199177852283,-2.658351884996033,2.2765559735853245,-0.19089795570535428
paintings-thmbnls150-bc.jpg,"('carmelina', 1903)",1903,1.0,0.19844356530862572,5.141422366515702,-2.3331993123321455,2.362167533980507,0.014484110824180663
paintings-thmbnls150-cs.jpg,"('the green line (portrait of madame matisse)', 1905)",1905,0.0,0.1731259727575513,5.002341930543827,-2.5301059175100704,2.3226036749998777,-0.10375112125509633
paintings-thmbnls150-dr.jpg,"('woman with a hat (madame matisse)', 1905)",1905,0.0,0.20227692092896493,5.171739445080757,-2.305596371930064,2.3706495932535883,0.0325266106617621
paintings-thmbnls150-zd.jpg,"('blue nude', 1905)",1905,0.0,0.2292232821658048,5.315705756176851,-2.125174509085422,2.410261248358786,0.14254336963668202
paintings-thmbnls150-hma308.jpg,"('woman with a parasol', 1905)",1905,1.0,0.1181713542627426,5.196761382517932,-3.0810477384894654,2.3776128169120363,-0.3517174607887146
paintings-thmbnls150-gk.jpg,"('interior at collioure', 1906)",1906,1.0,0.16412548891945494,5.229967126037816,-2.6071287860654837,2.386801878164134,-0.11016345395067484
paintings-orient_111_thmb.jpg,"('woman on a terrace', 1907)",1907,1.0,0.17450213183791502,5.026028258052938,-2.5186834333911103,2.329418782567202,-0.0946323254119541
paintings-thmbnls150-cb.jpg,"('woman in green', 1909)",1909,1.0,0.19794144524916085,4.767571916144414,-2.3368543774223967,2.2532547009465,-0.041799838237948306
paintings-orient_129_thmb.jpg,"('rose nude', 1909)",1909,1.0,0.1635151604733783,4.789168604136155,-2.612503692033793,2.259775226985338,-0.17636423252422762
paintings-thmbnls150-ea.jpg,"('the conversation', 1911)",1911,0.0,0.13282609849284124,4.405845407963499,-2.9123894507108887,2.1394188747307634,-0.38648528799006265
paintings-thmbnls150-cc.jpg,"('laurette with a white blouse', 1916)",1916,1.0,0.21430045224531355,4.71091513844564,-2.222293200302754,2.2360073437981627,0.006857071747704335
paintings-thmbnls150-cd.jpg,"('laurette with a green dress, black background', 1916)",1916,1.0,0.13343966117502062,4.107549562078462,-2.905740564224598,2.0382779829741153,-0.4337312906252413
paintings-thmbnls150-eq.jpg,"('the three sisters', 1916)",1916,1.0,0.2624372297710877,4.978471780047867,-1.9299556973545287,2.3157029523929915,0.19287362751923143
paintings-orient_187_thmb.jpg,"('head of lorette', 1917)",1917,1.0,0.18531616178572266,4.161004036078051,-2.4319393877728888,2.0569316877643025,-0.18750385000429315
paintings-thmbnls150-ep.jpg,"('woman at the fountain', 1917)",1917,1.0,0.22740977629967574,5.0592929101026,-2.1366338181598956,2.3389357670596884,0.1011509744498964
paintings-orient_189_thmb.jpg,"('aicha and lorette', 1917)",1917,1.0,0.19537142050660708,4.647581860735146,-2.3557086537272913,2.216480276449017,-0.06961418863913726
paintings-thmbnls150-hma97.jpg,"('the painter and his model', 1917)",1917,1.0,0.2055952562298784,4.7931553341896445,-2.282121117770862,2.2609756948564756,-0.010572711457193185
paintings-orient_185_thmb.jpg,"('lorette with a red dress', 1917)",1917,1.0,0.1786094159312024,4.998196298859724,-2.485119956426123,2.32140756285523,-0.08185619678544631
paintings-thmbnls150-cj.jpg,"('interior with a violin', 1918)",1918,1.0,0.22078045079108874,4.8498747111301785,-2.1793156618807337,2.277947478028447,0.04931590807385677
paintings-orient_186_thmb.jpg,"('woman with dark hair', 1918)",1918,1.0,0.1430793163453041,4.473421960881687,-2.8051129648410535,2.1613788486978676,-0.321867058071593
paintings-thmbnls150-eu.jpg,"('woman with a flowered hat', 1919)",1919,1.0,0.2022344114171345,5.151225378791244,-2.3058995934085744,2.3649156629016663,0.029508034746545952
paintings-orient_183_thmb.jpg,"('woman with oriental dress', 1919)",1919,1.0,0.1659293824315523,5.033920466363937,-2.591358716520582,2.331682422758573,-0.1298381468810046
paintings-thmbnls150-et.jpg,"('the artist and his model', 1919)",1919,1.0,0.15436806235066292,5.4297494593246425,-2.6955537947063366,2.440885630418423,-0.1273340821439568
paintings-thmbnls150-ex.jpg,"('girl with a green dress', 1921)",1921,1.0,0.21238322247861974,5.108931698279816,-2.2352582920358657,2.353021648360106,0.0588816781621202
paintings-thmbnls150-ez.jpg,"('odalisque with red pants', 1921)",1921,1.0,0.178208939288297,5.123990091438593,-2.4883583879746123,2.3572676858578916,-0.06554535105836035
paintings-orient_193_thmb.jpg,"('odalisque with a green plant and screen', 1923)",1923,1.0,0.1535260843814363,4.904267543983197,-2.7034443017628984,2.294037684952272,-0.20470330840531314
paintings-orient_195_thmb.jpg,"('odalisque', 1923)",1923,1.0,0.14405794762525145,5.063071257184153,-2.7952788392264845,2.340012788743633,-0.2276330252414258
paintings-thmbnls150-ca.jpg,"('moorish woman with upheld arms', 1923)",1923,1.0,0.1973779935248273,5.3474895331324905,-2.3409669480637985,2.4188617535450407,0.03894740274062114
paintings-thmbnls150-fe.jpg,"('odalisque with magnolia', 1924)",1924,1.0,0.19573439214270064,5.0799734076734415,-2.353030823264117,2.344820944887586,-0.004104939188265488
paintings-orient_199_thmb.jpg,"('odalisque', 1925)",1925,1.0,0.12223037798112997,4.882068786409143,-3.032325211398417,2.2874926222620897,-0.3724162945681637
